Date,Open,High,Low,Close
2026-08-19,24152.05,24172.85,24025.65,24078.3
2026-08-20,24225.45,24265.15,24184.55,24231.85
2026-08-21,24284.05,24284.05,24206.8,24252.0
2026-08-24,24285.05,24313.0,24144.3,24219.05
2026-08-25,24175.75,24334.55,24115.45,24334.55
2026-08-26,24341.95,24378.6,24207.75,24207.75
2026-08-27,24277.6,24297.45,24090.85,24090.85
2026-08-28,24122.6,24188.3,24076.85,24175.65
2026-08-31,24117.55,24128.7,23993.6,24080.4
2026-09-01,24077.55,24143.15,23952.55,24055.8
2026-09-02,23858.0,23914.45,23786.8,23914.45
