Date,Open,High,Low,Close
1995-11-03,994.20,1000.91,992.69,1000.00
1995-11-06,1001.53,1001.53,988.92,988.92
1995-11-07,987.17,987.17,977.05,978.22
1995-11-08,976.28,976.28,962.98,964.01
1995-11-09,960.32,960.32,952.13,953.07
1995-11-10,951.93,951.93,946.00,948.82
1995-11-13,949.29,949.29,916.48,917.26
1995-11-14,916.66,916.66,897.52,902.56
1995-11-15,901.33,913.54,901.33,913.21
1995-11-16,915.96,915.96,900.83,904.08
1995-11-17,898.72,900.41,885.31,898.86
1995-11-20,896.27,898.86,892.05,892.79
1995-11-21,891.96,891.96,876.00,876.59
1995-11-22,878.00,878.00,856.92,864.42
1995-11-23,856.20,856.20,842.33,849.50
1995-11-24,849.60,874.97,849.60,871.11
1995-11-27,871.94,878.58,858.93,861.25
1995-11-28,854.50,854.50,841.44,843.68
1995-11-29,845.36,845.36,822.54,845.12
1995-11-30,840.87,863.98,838.36,862.10
1995-12-01,867.99,877.41,866.37,873.05
1995-12-04,870.29,873.05,861.97,863.70
1995-12-05,860.02,867.59,854.47,866.52
1995-12-06,870.39,878.93,868.12,878.93
1995-12-07,881.97,901.25,881.97,898.62
1995-12-08,900.28,908.12,886.54,887.12
1995-12-11,882.58,882.58,874.37,877.41
1995-12-12,878.99,880.08,875.43,879.49
1995-12-13,881.30,889.26,881.30,889.26
1995-12-14,890.81,891.98,884.31,884.34
1995-12-15,876.95,883.85,875.50,883.41
1995-12-18,883.29,883.58,881.17,882.63
1995-12-19,882.35,884.19,879.54,883.72
1995-12-20,883.68,887.19,883.68,885.53
1995-12-21,888.25,900.50,887.73,900.50
1995-12-22,900.86,906.63,899.38,900.65
1995-12-26,899.87,906.47,898.41,905.33
1995-12-27,908.81,923.09,908.81,922.50
1995-12-28,923.67,927.60,913.76,914.55
1995-12-29,912.72,912.72,906.32,908.53
1996-01-01,913.11,913.11,906.15,908.01
1996-01-02,906.78,906.78,899.52,900.38
1996-01-03,901.66,904.48,895.48,895.96
1996-01-04,891.37,891.37,884.10,889.67
1996-01-05,887.79,887.79,881.74,884.73
1996-01-08,883.64,883.64,868.44,869.70
1996-01-09,864.84,870.71,856.77,869.12
1996-01-10,863.86,869.01,863.80,863.80
1996-01-11,862.62,873.72,861.97,873.27
1996-01-12,875.11,877.60,872.10,875.15
1996-01-15,878.74,878.74,870.98,871.32
1996-01-16,871.29,871.29,866.64,868.52
1996-01-17,866.00,866.00,857.11,857.11
1996-01-18,853.28,853.28,841.79,848.83
1996-01-19,846.66,847.17,840.18,843.99
1996-01-22,844.83,847.12,844.04,844.31
1996-01-23,846.05,846.05,830.83,832.90
1996-01-24,831.17,831.17,816.00,818.69
1996-01-25,819.56,819.56,814.34,814.92
1996-01-29,813.12,832.23,813.12,830.88
1996-01-30,836.14,848.13,836.14,846.57
1996-01-31,843.19,852.75,843.19,848.42
1996-02-01,848.28,869.54,848.28,869.54
1996-02-02,878.50,919.82,878.50,918.31
1996-02-05,933.14,949.16,927.65,943.08
1996-02-06,943.75,947.89,919.99,925.71
1996-02-07,918.97,932.02,913.22,932.02
1996-02-08,936.72,983.25,936.72,980.27
1996-02-09,1001.85,1033.02,980.27,1033.00
1996-02-12,1032.47,1045.81,1018.51,1018.50
1996-02-13,1019.69,1030.30,1006.28,1027.30
1996-02-14,1040.91,1067.49,1040.91,1051.90
1996-02-15,1048.14,1053.19,1042.36,1046.20
1996-02-16,1040.84,1040.84,1020.46,1023.00
1996-02-19,1027.20,1028.26,1019.93,1021.30
1996-02-20,1021.08,1021.08,999.93,1000.10
1996-02-22,1006.84,1025.44,1006.84,1024.90
1996-02-23,1025.36,1029.64,1019.45,1028.80
1996-02-26,1035.02,1045.15,1034.52,1034.70
1996-02-27,1034.28,1034.28,1024.65,1027.40
1996-02-28,1034.49,1037.53,1027.39,1027.30
1996-02-29,1024.14,1024.14,992.48,992.51
1996-03-01,994.66,1002.19,989.78,999.47
1996-03-04,1000.58,1002.41,996.51,998.84
1996-03-06,999.67,1003.72,997.86,1002.90
1996-03-07,1005.06,1010.50,998.45,998.45
1996-03-08,993.93,993.93,981.60,988.62
1996-03-11,981.16,981.16,966.28,975.26
1996-03-12,974.71,976.46,969.15,976.22
1996-03-13,973.75,992.54,972.77,992.14
1996-03-14,993.72,1002.68,990.41,991.14
1996-03-15,989.55,989.98,981.67,981.87
1996-03-18,977.71,977.71,961.37,962.09
1996-03-19,961.12,964.08,945.07,947.09
1996-03-21,957.88,967.75,957.88,965.57
1996-03-22,962.34,962.34,950.07,956.11
1996-03-25,956.89,957.19,952.25,953.98
1996-03-26,952.87,958.58,949.28,957.14
1996-03-27,965.84,975.60,965.84,974.17
1996-03-28,976.91,997.32,976.91,997.32
1996-03-29,998.16,998.16,985.30,985.30
1996-04-01,988.33,995.01,988.33,994.80
1996-04-02,996.07,1005.68,996.07,1003.20
1996-04-03,1013.41,1019.09,1012.79,1013.40
1996-04-04,1012.29,1012.29,1000.90,1010.90
1996-04-08,1024.40,1034.72,1024.40,1032.10
1996-04-09,1035.61,1041.05,1028.78,1029.00
1996-04-10,1030.57,1035.79,1027.07,1029.20
1996-04-11,1024.37,1026.52,1022.31,1025.10
1996-04-12,1023.84,1033.17,1023.84,1032.10
1996-04-15,1038.03,1050.48,1038.03,1046.40
1996-04-16,1046.80,1060.85,1046.80,1058.70
1996-04-17,1067.93,1096.28,1067.93,1096.20
1996-04-18,1107.76,1124.93,1107.76,1121.60
1996-04-19,1124.30,1142.26,1124.30,1131.70
1996-04-22,1136.28,1136.28,1102.83,1106.90
1996-04-23,1090.04,1100.51,1090.04,1095.80
1996-04-24,1136.97,1145.11,1126.77,1145.10
1996-04-25,1157.94,1160.16,1110.61,1120.80
1996-04-26,1133.17,1133.17,1106.29,1123.60
1996-04-29,1112.70,1118.69,1107.51,1118.30
1996-04-30,1118.10,1118.23,1112.44,1114.30
1996-05-01,1141.65,1141.65,1133.92,1137.80
1996-05-02,1131.96,1132.05,1123.15,1132.00
1996-05-03,1126.08,1127.99,1119.34,1119.40
1996-05-06,1108.00,1108.00,1087.86,1088.20
1996-05-07,1086.66,1094.97,1086.66,1093.00
1996-05-08,1082.78,1113.62,1075.94,1108.50
1996-05-09,1101.41,1107.41,1089.87,1090.50
1996-05-10,1076.97,1080.91,1063.75,1078.60
1996-05-13,1081.68,1090.16,1080.68,1088.10
1996-05-14,1087.94,1107.44,1085.85,1105.40
1996-05-15,1107.00,1117.41,1095.67,1115.90
1996-05-16,1128.45,1141.64,1126.29,1128.50
1996-05-17,1122.42,1122.42,1113.59,1115.50
1996-05-20,1094.60,1094.60,1083.56,1083.60
1996-05-21,1077.18,1082.52,1074.19,1074.80
1996-05-22,1082.25,1086.07,1079.61,1081.10
1996-05-23,1079.89,1079.89,1073.76,1076.70
1996-05-24,1079.77,1087.77,1077.87,1085.00
1996-05-27,1080.55,1080.55,1065.29,1065.20
1996-05-28,1054.62,1065.61,1046.95,1063.30
1996-05-29,1074.23,1100.59,1074.23,1096.70
1996-05-30,1095.86,1095.86,1082.58,1082.80
1996-05-31,1086.46,1089.92,1083.73,1089.90
1996-06-03,1098.18,1109.99,1098.18,1108.80
1996-06-04,1114.55,1118.13,1104.32,1105.60
1996-06-05,1108.78,1115.06,1104.45,1113.10
1996-06-06,1129.17,1132.62,1127.52,1129.80
1996-06-07,1126.39,1134.86,1126.39,1133.40
1996-06-10,1136.86,1144.15,1136.86,1141.30
1996-06-11,1137.74,1145.68,1136.77,1143.00
1996-06-12,1164.83,1171.01,1163.58,1163.80
1996-06-13,1166.37,1172.34,1164.66,1168.40
1996-06-14,1169.26,1198.35,1169.26,1196.00
1996-06-17,1202.58,1203.11,1184.36,1185.30
1996-06-18,1176.48,1184.18,1173.66,1181.90
1996-06-19,1180.78,1190.03,1163.46,1168.00
1996-06-20,1163.68,1170.54,1150.40,1169.40
1996-06-21,1168.72,1170.01,1155.56,1157.40
1996-06-24,1157.92,1159.92,1138.88,1146.70
1996-06-25,1147.28,1154.22,1123.79,1127.70
1996-06-26,1127.43,1134.43,1116.96,1119.80
1996-06-27,1119.00,1130.00,1107.00,1127.00
1996-06-28,1128.00,1136.00,1119.00,1122.00
1996-07-01,1121.00,1121.00,1105.00,1109.00
1996-07-02,1109.00,1111.00,1098.00,1100.00
1996-07-03,1100.00,1100.00,1076.00,1080.00
1996-07-04,1080.00,1099.00,1056.00,1088.00
1996-07-05,1089.00,1104.00,1088.00,1093.00
1996-07-08,1095.08,1106.36,1095.08,1103.40
1996-07-09,1104.01,1104.13,1082.41,1088.70
1996-07-10,1083.49,1093.27,1072.48,1086.60
1996-07-11,1089.45,1103.19,1089.45,1097.40
1996-07-12,1096.85,1099.20,1086.07,1089.30
1996-07-15,1089.00,1098.35,1081.22,1093.30
1996-07-16,1100.14,1105.94,1076.92,1083.40
1996-07-18,1109.17,1126.14,1109.17,1118.60
1996-07-19,1118.92,1126.71,1112.35,1119.20
1996-07-22,1119.39,1126.29,1115.13,1125.60
1996-07-23,1125.15,1127.08,1086.28,1092.10
1996-07-24,1090.74,1090.74,1049.88,1069.40
1996-07-25,1069.27,1075.79,1060.60,1062.60
1996-07-26,1062.04,1066.12,1046.46,1051.20
1996-07-29,1054.51,1057.84,1030.87,1033.90
1996-07-30,1031.01,1031.01,999.03,1014.90
1996-07-31,1017.06,1047.04,1004.76,1042.80
1996-08-01,1047.47,1054.08,1035.30,1036.60
1996-08-02,1036.34,1036.48,1024.80,1032.90
